"WTG_number","project_id","WTG_Type_id","Region_id","kW","hub","rotor","altitude","COD","zip_code","WGS_84_north","WGS_84_east","gauss_krueger_zone","gauss_krueger_north","gauss_krueger_east","town_id"
"E701249",9,"E-66/18.70","Saxony-Anhalt",1800,98,70,89,"2003-07-28","06780",51.646721,12.162661,4,5723604.834,4511365.29,"Wolfen"
"E66093",9,"E-66/15.66","Saxony-Anhalt",1500,98,66,89,"1998-11-12","06780",51.628762,12.173504,4,5721608.446,4512120.554,"Zörbig-Löberitz"
"E701250",9,"E-66/18.70","Saxony-Anhalt",1800,98,70,90,"2003-06-24","06780",51.643989,12.168111,4,5723301.726,4511743.222,"Wolfen"
"E70793",9,"E-66/18.66","Saxony-Anhalt",1800,98,66,89,"2003-11-01","06780",51.633738,12.177388,4,5722162.72,4512388.155,"Wolfen"
"E701251",9,"E-66/18.70","Saxony-Anhalt",1800,98,70,89,"2003-11-01","06780",51.636365,12.17556,4,5722454.694,4512260.888,"Wolfen"
"V18395",14,"V80","Lower Saxony",2000,100,80,NULL,"2005-07-29","31609",52.724627,9.164696,3,5843547.729,3511203.418,"Sebbenhausen"
"E70789",9,"E-66/18.70","Saxony-Anhalt",1800,98,70,90,"2002-07-30","06780",51.644099,12.163863,4,5723313.297,4511449.143,"Wolfen"
"E70790",9,"E-66/18.70","Saxony-Anhalt",1800,98,70,90,"2002-08-01","06780",51.640149,12.169652,4,5722874.735,4511850.884,"Roitzsch"
"V11842",9,"V52","Saxony-Anhalt",850,74,52,92,"2001-07-10","06780",51.631356,12.147272,4,5721893.067,4510303.557,"Roitzsch"
"V17153",9,"V80","Saxony-Anhalt",2000,95,80,91,"2003-03-28","06780",51.644874,12.159309,4,5723398.826,4511133.724,"Roitzsch"
"V17152",9,"V80","Saxony-Anhalt",2000,95,80,91,"2003-01-22","06780",51.642298,12.160559,4,5723112.41,4511220.878,"Roitzsch"
"V13985",9,"V80","Saxony-Anhalt",2000,95,80,90,"2002-02-18","06780",51.634615,12.151511,4,5722256.263,4510596.315,"Roitzsch"
"V13984",9,"V80","Saxony-Anhalt",2000,95,80,90,"2002-02-07","06780",51.637388,12.150345,4,5722564.62,4510514.952,"Roitzsch"
"V11897",9,"V52","Saxony-Anhalt",850,74,52,89,"2001-09-04","06780",51.644004,12.177705,4,5723304.967,4512407.325,"Roitzsch"
"V11896",9,"V52","Saxony-Anhalt",850,74,52,90,"2001-09-04","06780",51.647317,12.159414,4,5723670.65,4511140.399,"Roitzsch"
"V11930",9,"V80","Saxony",2000,95,80,90,"2001-07-12","06780",51.629755,12.148567,4,5721715.122,4510393.585,"Roitzsch"
"V23004(M)",12,"V80","Saxony-Anhalt",2000,100,80,NULL,"2005-11-30","39435",51.976058,11.445111,4,5760376.842,4461976.122,"Egeln"
"V18393",14,"V80","Lower Saxony",2000,100,80,23,"2005-07-19","31609",52.725114,9.16988,3,5843602.736,3511553.537,"Sebbenhausen"
